Site,Xylem porosity,Species,Species code,n.trees,n.tree.years,n.cores,cores.date.range
SCBI,ring-porous,$Carya$ $cordiformis$ ,CACO,0,0,18,1917-2009
,,$Carya$ $glabra$ ,CAGL,0,0,39,1901-2009
,,$Carya$ $ovalis$ ,CAOVL,0,0,24,1896-2009
,,$Carya$ $tomentosa$ ,CATO,0,0,17,1926-2009
,,$Fraxinus$ $nigra$,FRNI,0,0,16,1901-2016
,,$Fraxinus$ $americana$ ,FRAM,0,0,69,1910-2009
,,$Quercus$ $alba$,QURU,33,265,66,1904-2009
,,$Quercus$ $montana$,QUPR,0,0,67,1893-2009
,,$Quercus$ $rubra$ ,QUAL,34,272,71,1870-2009
,,$Quercus$ $velutina$,QUVE,0,0,83,1902-2009
,diffuse-porous,$Fagus$ $grandifolia$,FAGR,13,75,81,1932-2009
,,$Liriodendron$ $tulipifera$,LITU,39,292,109,1920-2009
HF,ring-porous,$Fraxinus$ $americana$ ,FRAM,8,28,34,1901-2008
,,$Quercus$ $rubra$,QURU,119,529,179,1901-2014
,,$Quercus$ $velutina$,QUVE,11,53,0,
,diffuse-porous,$Fagus$ $grandifolia$,FAGR,8,35,0,
,,$Betula$ $lenta$,BELE,8,44,0,
,,$Betula$ $populifolia$,BEPO,5,16,0,
,,$Betula$ $papyrifera$,BEPA,3,10,0,
,,$Betula$ $alleghaniensis$,BEAL,19,72,44,1952-2013
,,$Prunus$ $serotina$,PRSE,8,29,0,
,,$Acer$ $rubrum$,ACRU,128,477,59,1930-2014
,,$Acer$ $pensylvanicum$,ACPE,4,13,0,
