xylem porosity,species,n,Marcch pos,March neg,April pos,April neg,May pos,May neg,June pos,June neg,July pos,July neg,Aug pos,August neg,April pos,April neg,June-July pos,June-July neg
ring,$Carya$ $cordifomis$,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,$Carya$ $glabra$,7,0,0,0,0,0,3,0,5,0,5,0,0,0,0,0,5
,$Carya$ $ovalis$,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
,$Carya$ $ovata$,21,0,2,0,0,0,5,0,20,0,17,0,12,2,0,0,20
,$Carya$ $tomentosa$,2,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,1
,$Fraxinus$ $americana$,5,0,1,0,0,0,4,0,3,0,2,1,0,0,0,0,3
,$Fraxinus$ $nigra$,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
,$Quercus$ $alba$,36,0,2,0,4,0,18,0,31,0,30,0,24,0,2,0,33
,$Quercus$ $macrocarpa$,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
,$Quercus$ $montana$,17,0,1,0,2,1,4,0,10,0,9,0,3,1,2,0,11
,$Quercus$ $pagoda$,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
,$Quercus$ $rubra$,37,0,3,0,2,1,4,0,25,0,18,1,5,1,1,0,22
,$Quercus$ $stellata$,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2
,$Quercus$ $velutina$,7,0,0,0,0,0,2,0,5,0,6,0,3,0,0,0,7
,TOTAL,141,0,10,1,8,2,45,0,107,0,91,2,53,4,5,0,108
diffuse,$Acer$ $rubrum$,4,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,3
,$Acer$ $saccharum$,16,0,0,1,0,0,2,0,14,0,12,0,6,3,0,0,14
,$Betula$ $alleghaniensis$,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
,$Betula$ $lenta$,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2
,$Fagus$ $grandifolia$,6,0,0,1,0,0,0,0,4,0,5,0,1,1,0,0,5
,$Liriodendron$ $tulipifera$,32,0,0,2,1,0,7,0,30,0,17,0,16,1,0,0,27
,$Magnolia$ $acuminata$,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,$Nyssa$ $sylvatica$,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,$Populus$ $grandidentata$,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TOTAL,66,0,0,4,2,0,10,0,52,0,36,0,23,5,1,0,52
all,TOTAL,207,0,10,5,10,2,55,0,159,0,127,2,76,9,6,0,160
