"coefficient","mean","sd","2.5%","97.5%"
"y1|(Intercept)",210.558788667486,8.23695322054927,194.138855121177,226.721619122297
"y1|wood_typering-porous",-52.4680334170469,9.71646496992408,-71.2778571734573,-33.4530551002939
"y1|wood_typediffuse-porous:climwinmean",-3.00290854178466,0.433275194013643,-3.85218156230056,-2.14542815491512
"y1|wood_typering-porous:climwinmean",-2.06629482135077,0.297602523518219,-2.65439272560173,-1.4753614152241
"y2|(Intercept)",229.919792865808,7.34845341229311,215.487732609008,244.016344068763
"y2|wood_typering-porous",-51.8346541100352,8.58695633554856,-68.170412910386,-34.7938829706176
"y2|wood_typediffuse-porous:climwinmean",-3.07840355945285,0.383765644378114,-3.81188665804241,-2.32207961437433
"y2|wood_typering-porous:climwinmean",-1.60670294949133,0.268945019678505,-2.13632249454964,-1.07959453766009
"y3|(Intercept)",248.191445456399,9.36287573951425,230.060923444464,266.673183408053
"y3|wood_typering-porous",-50.3551987408725,10.8862436217641,-71.4083951237157,-29.3521746741073
"y3|wood_typediffuse-porous:climwinmean",-3.09506917774791,0.489543760706456,-4.06333358346672,-2.14736298979946
"y3|wood_typering-porous:climwinmean",-1.12358252212138,0.339265174576815,-1.80169196832167,-0.470912467154554
