year	num	seg	age	raw	std	res	ars
   1923	   2.	  92.000	   1.000	   2.195	   0.961	   0.983	   0.982
   1924	   2.	  92.000	   2.000	   2.270	   0.980	   1.006	   1.000
   1925	   2.	  92.000	   3.000	   2.297	   0.979	   0.991	   0.993
   1926	   2.	  92.000	   4.000	   2.325	   0.977	   0.989	   0.988
   1927	   2.	  92.000	   5.000	   2.585	   1.070	   1.085	   1.081
   1928	   4.	  89.500	   3.500	   2.438	   1.173	   1.123	   1.159
   1929	   4.	  89.500	   4.500	   2.238	   1.064	   0.934	   1.007
   1930	   6.	  88.000	   4.000	   1.471	   0.870	   0.753	   0.753
   1931	   8.	  86.750	   4.000	   1.669	   0.742	   0.836	   0.726
   1932	   8.	  86.750	   5.000	   2.018	   0.788	   1.059	   0.943
   1933	   8.	  86.750	   6.000	   2.106	   0.933	   1.241	   1.214
   1934	   8.	  86.750	   7.000	   2.321	   0.957	   0.944	   1.041
   1935	   8.	  86.750	   8.000	   2.761	   1.136	   1.167	   1.184
   1936	  12.	  77.833	   6.333	   2.655	   1.042	   1.029	   1.112
   1937	  13.	  77.769	   6.846	   2.816	   1.231	   1.122	   1.171
   1938	  13.	  77.769	   7.846	   2.697	   1.243	   1.176	   1.249
   1939	  14.	  77.571	   8.286	   2.356	   1.037	   0.906	   1.019
   1940	  16.	  77.250	   8.250	   2.414	   1.024	   1.057	   1.067
   1941	  16.	  77.250	   9.250	   1.920	   0.831	   0.801	   0.830
   1942	  16.	  77.250	  10.250	   2.201	   0.975	   1.076	   1.004
   1943	  17.	  76.941	  10.647	   1.825	   0.871	   0.895	   0.898
   1944	  19.	  76.263	  10.526	   1.924	   0.935	   0.990	   0.947
   1945	  22.	  75.364	  10.091	   2.023	   1.083	   1.118	   1.096
   1946	  23.	  75.043	  10.652	   1.992	   1.072	   1.028	   1.071
   1947	  25.	  74.480	  10.800	   1.853	   1.025	   0.986	   1.019
   1948	  25.	  74.480	  11.800	   1.556	   0.855	   0.821	   0.830
   1949	  26.	  74.115	  12.346	   1.533	   0.873	   0.935	   0.862
   1950	  27.	  73.741	  12.889	   1.448	   0.834	   0.898	   0.838
   1951	  32.	  72.062	  11.875	   1.504	   0.834	   0.937	   0.867
   1952	  35.	  71.200	  11.857	   1.792	   0.896	   0.973	   0.916
   1953	  37.	  70.703	  12.216	   2.106	   1.106	   1.140	   1.104
   1954	  39.	  70.154	  12.590	   1.834	   0.989	   0.928	   0.976
   1955	  41.	  69.610	  12.976	   1.901	   1.004	   1.030	   1.021
