Acronym,Latin name,Common name
ABBA,Abies balsamea,Balsam fir
ACRU,Acer rubrum,Red maple
ACSA,Acer saccharinum,Silver maple
ACSH,Acer saccharum,Sugar maple
BEAL,Betula alleghaniensis,Yellow birch
BELE,Betula lenta,Sweet birch
BEPA,Betula papyrifera,White birch
CYGL,Carya glabra,Pignut hickory
CYOL,Carya ovalis,Red hickory
CYOV,Carya ovata,Shagbark hickory
CYTO,Carya tomentosa,Mockernut hickory
CADN,Castanea dentata,American chestnut
CHTH,Chamaecyparis thyoides,Quaking aspen
FAGR,Fagus grandifolia,American beech
FRNI,Fraxinus nigra,Black ash
JUNI,Juglans nigra,Black walnut
JUVI,Juniperus virginiana,Red juniper
LALA,Larix laricina,Tamarack
LITU,Liriodendron tulipifera,Tulip-poplar
MAAC,Magnolia acuminata,cucumbertree
NYSY,Nyssa sylvatica,Blackgum
OXAR,Oxydendrum arboreum,Sourwood
PCGL,Picea glauca,White spruce
PCMA,Picea mariana,Black spruce
PCRU,Picea rubens,Red spruce
PIBA,Pinus banksiana,Jack pine
PIEC,Pinus echinata,Shortleaf pine
PIPA,Pinus palustris,Longleaf pine
PIPU,Pinus pungens,Table mountain pine
PIRE,Pinus resinosa,Red pine
PIRI,Pinus rigida,Pitch pine
PIST,Pinus strobus,White pine
PITA,Pinus taeda,Loblolly pine
PIVI,Pinus virginiana,Virginia pine
PPGR,Populus grandidentata,Bigtooth aspen
PPTR,Populus tremuloides,Trembling aspen
QUAL,Quercus alba,White oak
QUCO,Quercus coccinea,Scarlet oak
QULY,Quercus lyrata,Overcup oak
QUMA,Quercus macrocarpa,Bur oak
QUMO,Quercus montana,Chestnut oak
QUPR,Quercus montana,Chestnut oak
QURU,Quercus rubra,Red oak
QUST,Quercus stellata,Post oak
QUVE,Quercus velutina,Black oak
ROPS,Robinia pseudoacacia,Black locust
SAAL,Salix alba,White willow
TADI,Taxodium distichum,Bald cypress
THOC,Thuya occidentalis,Eastern white cedar
TIAM,Tilia americana,American basswood
TSCA,Tsuga canadensis,American hemlock
TSCR,Tsuga caroliniana,Carolina hemlock
FRAM,Fraxinus americana,White ash
