Latitude,Longitude,Location,Name,Species,Trees,Cores
42.53,-72.18,HF_LyfordPlots,LF_ACRU,ACRU,,
42.84417,-72.44976,NorthRoundPondPlot3,NRP_ACRU,ACRU,,
42.84514,-72.4473,NorthRoundPondPlot1,NRP_ACSA_Canopy,ACSH,,
41.710008,-74.247273,Palmaghatt1,PM1_BEALok,BEAL,,
41.79863333,-74.11255,"Mohonk Preserve, NY ",MohonkSweetBirchBELE,BELE,17,27
42.84417,-72.44976,NorthRoundPondPlot3,NRP3_BELE,BELE,,
43.4175,-73.729,"Prospect Mtn. ADKs, NY",ProspectMtnBELE,BELE,15,28
41.283,-74.233,"Bellvale Mtn, NY",BellvaleMtnNY,CHTH,28,45
35.74286667,-75.92851667,Dare_Co ,DareCoBombingNC,CHTH,20,30
41.186,-74.26805,"Sterling Forest, NY",SterlingForNYawc,CHTH,31,43
34.357419,-87.427427,SIPSEY WILDERNESS,AL_SipseyWilderness_CAGL,CYGL,,
38.98456667,-77.24231667,"Bear Island, MD",BearIslandMD_CAGL,CYGL,15,30
42.79496667,-73.86005,"Lisha Kill, NY CAGL",LishaKillCAGLphil,CYGL,15,25
41.8012,-74.10568333,"Mohonk Preserve, Bonticou Crag, NY ",MohonkPreservePignutCAGL,CYGL,20,30
37.73505,-79.22396667,"Mt_Pleasant, VA ",MtPleasantVAcaglPhil,CYGL,20,30
43.188,-73.49883333,"Stott Farm, Argyle, NY",StottFarmArgyleNY_CAGL,CYGL,21,25
37.77071667,-79.2416,"Fiddler’s Green, VA CAOV",FiddlersGreenShagAll,CYOV,20,32
39.6569,-78.40053333,"Green Ridge, MD ",FifteenMileShagbarkMD,CYOV,20,30
43.42166667,-73.57,"Prospect Mtn, ADKs, NY",ProspectMtnShagbarkHickoryCAOV,CYOV,23,41
44.555753,-73.113145,Winooski,WinooskiShagbarkHickory,CYOV,,
 36.670247,-89.127605,ThreePonds,ThreePondsHickory,CYTO,,
37.13,-84.27,DanielBoone London District,DanielBooneLondonFAGR,FAGR,,
43.069875,-73.286652,Goose Egg,GE3_FAGR,FAGR,,
42.84514,-72.4473,NorthRoundPondPlot1,NRP_FAGR,FAGR,,
42.84771,-72.4475,NorthRoundPondPlot2,NRP_FRAM,FRAM,,
43.2,-71.1667,Pawtuckaway,PawtuckawayJUVI,JUVI,,
 35.551317,-83.835749,FORGECREEK,F_CreekNADEF_LITUall,LITU,,
37.76943333,-79.24151667,"Fiddler’s Green, VA LITU",FiddlerGreenTulipAll,LITU,21,38
40.9216,-73.9297,"Greenbrook Sanctuary, NJ  LITU",GreenbrookNJtulip,LITU,15,31
37.13,-84.27,DanielBoone London District,KY_LondonDistrict_LITU,LITU,,
37.187032,-86.103961,MAMMOTH CAVE,KY_MammothCave_LITU,LITU,,
41.81,-74.09905,"Mohonk Preserve, NY ",MohonkPreserveTulip,LITU,20,36
42.0088,-73.91875,"Montgomery Place, NY ",MontgomeryPlaceLITU,LITU,20,32
39.87846667,-76.38636667,"Otter Creek, PA ",OtterCreekPA_LITU,LITU,20,30
34.76,-84.3,FRICK CREEK,FrickCreekLITUxdate,LITU,,
37.76868333,-79.24238333,"Fiddler’s Green, VA MAAC",FiddlersGreenCucumberMagnolia,MAAC,20,34
43.17466667,-73.81683333,"Lincoln coln Mtn Sta. Forest, NY NYSY",LincolnMtnNyssa,NYSY,30,73
43.05733333,-73.35183333,"Shushan Soutlier, Shushan Swamp, NY",ShushanWhiteSpruce,PCGL,60,120
41.33163333,-74.6579,"High Point, NJ",HighPointNJ_PIRU_bst,PCRU,20,41
41.283,-74.233,"Bellvale Mtn, NY",HoagMtnRedSpruce,PCRU,15,31
43.17466667,-73.81683333,"Lincoln coln Mtn Sta. Forest, NY NYSY",LincolnMtnRedSpruce,PCRU,,
31.021278,-87.248273,FLOMATON NATURAL AREA,AL_FlomatonPIPA,PIPA,,
32.8509,-84.4803,SpreewellBluff,GA_SpreewellBluffPIPArwCurse,PIPA,,
31.22,-84.47,Ichauway,JonesEcologicalResearchStateionPIPA,PIPA,,
34.3288,-85.2463,LavandarMnt,LavendarMtnPIPA,PIPA,,
43.80633333,-74.60955,"Raquette Lake, ADKs, NY",RaquetteLakePIREbst,PIRE,20,38
42.70153333,-73.83908333,"Albany Pine Bush, NY",AlbanyPineBushPIRIall,PIRI,17,38
43.35436667,-73.69026667,"GlenLake Fen, NY",GlenLakeFenNY_PIRIall,PIRI,20,41
41.73796667,-74.20471667,"Mohonk, Enderly Hamlet, NY ",MohonkAbandonedAgPIRI,PIRI,15,30
42.542199,-72.4867,MonteguePlains,MonteguePlainsMAcomboPIRI,PIRI,,
