"tot","perc","tag","DOY","sp","year","dbh","max_rate_DOY","max_rate","wood_type"
0.52226443442356,0.25,"A111998",158,"betual",1998,13.20058442,181,0.00661947614466207,"diffuse-porous"
0.52226443442356,0.5,"A111998",180,"betual",1998,13.20058442,181,0.00661947614466207,"diffuse-porous"
0.52226443442356,0.75,"A111998",201,"betual",1998,13.20058442,181,0.00661947614466207,"diffuse-porous"
0.167642289985956,0.25,"A181998",171,"betual",1998,23.26795906,189,0.00273095426364733,"diffuse-porous"
0.167642289985956,0.5,"A181998",188,"betual",1998,23.26795906,189,0.00273095426364733,"diffuse-porous"
0.167642289985956,0.75,"A181998",205,"betual",1998,23.26795906,189,0.00273095426364733,"diffuse-porous"
0.131595032864261,0.25,"A1101998",187,"betual",1998,12.45248413,200,0.00279077494379543,"diffuse-porous"
0.131595032864261,0.5,"A1101998",199,"betual",1998,12.45248413,200,0.00279077494379543,"diffuse-porous"
0.131595032864261,0.75,"A1101998",212,"betual",1998,12.45248413,200,0.00279077494379543,"diffuse-porous"
0.145362054478808,0.25,"B21931998",165,"betual",1998,14.90875103,181,0.00281248519114108,"diffuse-porous"
0.145362054478808,0.5,"B21931998",180,"betual",1998,14.90875103,181,0.00281248519114108,"diffuse-porous"
0.145362054478808,0.75,"B21931998",194,"betual",1998,14.90875103,181,0.00281248519114108,"diffuse-porous"
0.0305344259846922,0.25,"C13551998",186,"betual",1998,11.71098941,201,0.000595711723745396,"diffuse-porous"
0.0305344259846922,0.5,"C13551998",200,"betual",1998,11.71098941,201,0.000595711723745396,"diffuse-porous"
0.0305344259846922,0.75,"C13551998",214,"betual",1998,11.71098941,201,0.000595711723745396,"diffuse-porous"
0.0561524080526077,0.25,"C34141998",185,"betual",1998,12.89228656,201,0.00100498963448103,"diffuse-porous"
0.0561524080526077,0.5,"C34141998",200,"betual",1998,12.89228656,201,0.00100498963448103,"diffuse-porous"
0.0561524080526077,0.75,"C34141998",216,"betual",1998,12.89228656,201,0.00100498963448103,"diffuse-porous"
0.139572662021457,0.25,"E16841998",132,"betual",1998,29.07255377,157,0.00161710062255338,"diffuse-porous"
0.139572662021457,0.5,"E16841998",156,"betual",1998,29.07255377,157,0.00161710062255338,"diffuse-porous"
0.139572662021457,0.75,"E16841998",180,"betual",1998,29.07255377,157,0.00161710062255338,"diffuse-porous"
0.0437447518456331,0.25,"E48191998",196,"betual",1998,24.62498394,206,0.00135771740668389,"diffuse-porous"
0.0437447518456331,0.5,"E48191998",205,"betual",1998,24.62498394,206,0.00135771740668389,"diffuse-porous"
0.0437447518456331,0.75,"E48191998",214,"betual",1998,24.62498394,206,0.00135771740668389,"diffuse-porous"
